,State,VEP_Counted,VEP,Minor,Cast,VAP,Democrat,Republican,Year,Counted,Type,Treatment,White,Black,Hispanic,American Indian/Alaska Native,Asian,Native Hawaiian/Other Pacific Islander,Two Or More Races,Total,Footnotes,OtherRace,Treatment2
177,Nebraska,17.2,"1,349,169",705,,"1,434,986","78,510","197,430",2016,"231,595",Primary,,1475200,81500,196000,12200,42300,,36700,1845000,,,NA
53,Nebraska ,20.5,"1,270,460",152,"260,150","1,336,555","94,535","136,648",2008,,Primary,,,,,,,,,,,,NA
4,Nevada,9.7,"1,669,337",,"161,874","1,931,679","117,559","44,315",2008,,Caucus,,1447500,181000,664100,28400,153500,10900,71400,2556800,,,3
66,Nevada,1.9,"1,772,116",,"32,894","2,065,822",,"32,894",2012,,Caucus,,1434800,210500,741300,23800,202800,18100,79600,2710900,,,3
130,Nevada,8.2,"1,936,072",,,"2,248,402",,"75,216",2016,"159,216",Caucus,,1441300,241000,824500,25100,240000,18800,99800,2890400,,,3
191,Nevada,4.9,"2,123,520",,,"2,415,267","104,883",,2020,"104,883",Caucus,,1935103,261123,,35845,234693,19352,140499,2922849,,296234,3
2,New Hampshire,53.6,"988,708",,"529,711","1,021,849","288,672","241,039",2008,,Primary,,1185300,8000,37700,,26100,,15600,1275300,,,3
62,New Hampshire,31.1,"1,001,914",,"311,311","1,034,045","61,777","249,534",2012,,Primary,,1176100,13500,38600,3200,27900,,20900,1280100,,,3
127,New Hampshire,52.4,"1,035,734",,,"1,070,657","254,776","287,683",2016,"542,459",Primary,,1175900,13600,44600,,32700,,23100,1291300,,,3
190,New Hampshire,42.4,"1,077,914",,,"1,109,471","300,742","156,587",2020,"457,329",Primary,,1250014,20516,,2090,36124,359,27890,1343622,,6629,3
25,New Jersey,29.2,"5,850,338",,"1,707,400","6,642,923","1,141,199","566,201",2008,,Primary,,5240200,1085700,1399200,10200,633500,,125100,8494600,,,NA
121,New Jersey,8.8,"5,885,472",,"515,138","6,821,880","283,673","231,465",2012,,Primary,,5044400,1078000,1616200,7500,768100,,168800,8685500,,,NA
